id,region,idxregion,dreadd,day,BP,deltaBP,ratio,serotype,promoter,IRES2A,tag,vector
193r,R_Amyg,193r_R_Amyg_s,hM4Di,0,0.062196118,0,NA,AAV2,CMV,none,none,AAV2-CMV-hM4Di
193r,R_Amyg,193r_R_Amyg_s,hM4Di,31,0.627128682,0.564932564,NA,AAV2,CMV,none,none,AAV2-CMV-hM4Di
193r,R_Amyg,193r_R_Amyg_s,hM4Di,44,1.010562056,0.948365939,100,AAV2,CMV,none,none,AAV2-CMV-hM4Di
193r,R_Amyg,193r_R_Amyg_s,hM4Di,80,0.928296105,0.866099987,91.3,AAV2,CMV,none,none,AAV2-CMV-hM4Di
212r,R_Put,212r_R_Put_s,hM4Di,0,0.365479765,0,NA,AAV2,CMV,none,none,AAV2-CMV-hM4Di
212r,R_Put,212r_R_Put_s,hM4Di,15,1.215893914,0.850414149,NA,AAV2,CMV,none,none,AAV2-CMV-hM4Di
212r,R_Put,212r_R_Put_s,hM4Di,30,1.842308656,1.476828891,NA,AAV2,CMV,none,none,AAV2-CMV-hM4Di
212r,R_Put,212r_R_Put_s,hM4Di,45,1.960684975,1.59520521,NA,AAV2,CMV,none,none,AAV2-CMV-hM4Di
212r,R_Put,212r_R_Put_s,hM4Di,63,2.316930749,1.951450984,100,AAV2,CMV,none,none,AAV2-CMV-hM4Di
215r,L_Amyg,215r_L_Amyg_s,hM3Dq,0,0.245671987,0,NA,AAV2,CMV,none,none,AAV2-CMV-hM3Dq
215r,L_Amyg,215r_L_Amyg_s,hM3Dq,77,1.96274408,1.717072093,100,AAV2,CMV,none,none,AAV2-CMV-hM3Dq
215r,L_Amyg,215r_L_Amyg_s,hM3Dq,107,1.360215909,1.114543922,64.9,AAV2,CMV,none,none,AAV2-CMV-hM3Dq
223c,R_Cd,223c_R_Cd_small,hM3Dq,0,0.488436104,0,NA,AAV2.1,hSyn,IRES,AcGFP,AAV2.1-hSyn-hM3Dq-IRES-AcGFP
223c,R_Cd,223c_R_Cd_small,hM3Dq,30,1.102351614,0.61391551,NA,AAV2.1,hSyn,IRES,AcGFP,AAV2.1-hSyn-hM3Dq-IRES-AcGFP
223c,R_Cd,223c_R_Cd_small,hM3Dq,45,1.609745412,1.121309308,100,AAV2.1,hSyn,IRES,AcGFP,AAV2.1-hSyn-hM3Dq-IRES-AcGFP
