"id","region","hemisphere","region2","voisize","idxregion","dreadd","tracer","day","value","deltaBP","deltaBPpeak","ratio","diffBP","serotype","serotype2","promoter","promoter2","dreadd.1","tag","IRES2A","tag2","DayFromLast","CumulativeActivation","JustAfterActivation","vector","titer","genome","age","sex","seropro","species","year","period","serotype3","lastPET"
"215r","L_Amyg","L","Amyg","small","215r_L_Amyg","hM3Dq","DCZ",77,1.96274408,1.717072093,1.717072093,100,0,"AAV2","AAV2","CMV","CMV","hM3Dq","none","none","none",NA,NA,"NA","AAV2-CMV-hM3Dq",1.2,7.2,8.5,"female","AAV2-CMV","rhesus",0.210814510609172,0.22,"other",2.68309377138946
"215r","L_Amyg","L","Amyg","small","215r_L_Amyg","hM3Dq","DCZ",107,1.360215909,1.114543922,1.717072093,64.9,-0.602528171,"AAV2","AAV2","CMV","CMV","hM3Dq","none","none","none",NA,NA,"NA","AAV2-CMV-hM3Dq",1.2,7.2,8.6,"female","AAV2-CMV","rhesus",0.292950034223135,0.5,"other",2.68309377138946
"215r","L_Amyg","L","Amyg","small","215r_L_Amyg","hM3Dq","DCZ",189,1.739614142,1.493942155,1.717072093,87,-0.223129938,"AAV2","AAV2","CMV","CMV","hM3Dq","none","none","none",NA,NA,"NA","AAV2-CMV-hM3Dq",1.2,7.2,8.8,"female","AAV2-CMV","rhesus",0.517453798767967,1,"other",2.68309377138946
"215r","L_Amyg","L","Amyg","small","215r_L_Amyg","hM3Dq","DCZ",980,1.029591645,0.783919658,1.717072093,45.7,-0.933152435,"AAV2","AAV2","CMV","CMV","hM3Dq","none","none","none",NA,NA,"NA","AAV2-CMV-hM3Dq",1.2,7.2,11,"female","AAV2-CMV","rhesus",2.68309377138946,3,"other",2.68309377138946
"223c","R_Put","R","Put","small","223c_R_Put","hM3Dq","DCZ",80,3.714474909,3.299438436,3.299438435,100,0,"AAV2.1A","AAV2.1","hSynI","hSyn","hM3Dq","AcGFP","IRES","IRES-AcGFP",30,1,"1","AAV2.1-hSyn-hM3Dq-IRES-AcGFP",5,15,4.9,"male","AAV2.1-Syn","cynomolgus",0.219028062970568,0.22,"AAV2.1",0.503764544832307
"223c","R_Put","R","Put","small","223c_R_Put","hM3Dq","DCZ",184,3.196655075,2.781618602,3.299438435,84.3,-0.517819834,"AAV2.1A","AAV2.1","hSynI","hSyn","hM3Dq","AcGFP","IRES","IRES-AcGFP",98,2,"1","AAV2.1-hSyn-hM3Dq-IRES-AcGFP",5,15,5.2,"male","AAV2.1-Syn","cynomolgus",0.503764544832307,1,"AAV2.1",0.503764544832307
"223c","R_Cd","R","Cd","small","223c_R_Cd","hM3Dq","DCZ",45,1.609745412,1.121309308,1.121309308,100,0,"AAV2.1A","AAV2.1","hSynI","hSyn","hM3Dq","AcGFP","IRES","IRES-AcGFP",0,0,"NA","AAV2.1-hSyn-hM3Dq-IRES-AcGFP",1,3,4.8,"male","AAV2.1-Syn","cynomolgus",0.123203285420945,0.22,"AAV2.1",0.503764544832307
"223c","R_Cd","R","Cd","small","223c_R_Cd","hM3Dq","DCZ",80,1.241555425,0.753119321,1.121309308,67.2,-0.368189987,"AAV2.1A","AAV2.1","hSynI","hSyn","hM3Dq","AcGFP","IRES","IRES-AcGFP",30,1,"1","AAV2.1-hSyn-hM3Dq-IRES-AcGFP",1,3,4.9,"male","AAV2.1-Syn","cynomolgus",0.219028062970568,0.5,"AAV2.1",0.503764544832307
"223c","R_Cd","R","Cd","small","223c_R_Cd","hM3Dq","DCZ",184,1.657914647,1.169478543,1.121309308,104.3,0.0481692349999998,"AAV2.1A","AAV2.1","hSynI","hSyn","hM3Dq","AcGFP","IRES","IRES-AcGFP",98,2,"1","AAV2.1-hSyn-hM3Dq-IRES-AcGFP",1,3,5.2,"male","AAV2.1-Syn","cynomolgus",0.503764544832307,1,"AAV2.1",0.503764544832307
"224j","R_Amyg","R","Amyg","small","224j_R_Amyg","hM3Dq","DCZ",43,1.104933075,0.91706144,0.91706144,100,0,"AAV2.1","AAV2.1","hSyn","hSyn","hM3Dq","AcGFP","IRES","IRES-AcGFP",0,0,"NA","AAV2.1-hSyn-hM3Dq-IRES-AcGFP",2,10,9.2,"male","AAV2.1-Syn","japanese",0.11772758384668,0.22,"AAV2.1",2.57357973990418
"224j","R_Amyg","R","Amyg","small","224j_R_Amyg","hM3Dq","DCZ",287,0.763244813,0.575373178,0.91706144,62.7,-0.341688262,"AAV2.1","AAV2.1","hSyn","hSyn","hM3Dq","AcGFP","IRES","IRES-AcGFP",5,6,"1","AAV2.1-hSyn-hM3Dq-IRES-AcGFP",2,10,9.8,"male","AAV2.1-Syn","japanese",0.785763175906913,1,"AAV2.1",2.57357973990418
"224j","R_Amyg","R","Amyg","small","224j_R_Amyg","hM3Dq","DCZ",940,0.988691383,0.800819748,0.91706144,87.3,-0.116241692,"AAV2.1","AAV2.1","hSyn","hSyn","hM3Dq","AcGFP","IRES","IRES-AcGFP",610,14,"1","AAV2.1-hSyn-hM3Dq-IRES-AcGFP",2,10,11.6,"male","AAV2.1-Syn","japanese",2.57357973990418,3,"AAV2.1",2.57357973990418
