subject,id,moid,years,exam,tracer,activation,route,dreadd,compound,dose,task,days
153,153R,#153,0.336986301,Behavior,NA,1,i.v.,hM4Di,C21,0.3,reward size task,123
153,153R,#153,0.347945205,Behavior,NA,0,i.v.,hM4Di,vehicle,na,reward size task,127
153,153R,#153,0.353424658,Behavior,NA,1,i.v.,hM4Di,C21,0.3,reward size task,129
153,153R,#153,0.367123288,Behavior,NA,0,i.v.,hM4Di,vehicle,na,reward size task,134
153,153R,#153,0.375342466,Behavior,NA,1,i.v.,hM4Di,C21,0.3,reward size task,137
153,153R,#153,0.38630137,Behavior,NA,0,i.v.,hM4Di,vehicle,na,reward size task,141
153,153R,#153,0.55890411,Behavior,NA,0,i.v.,hM4Di,vehicle,na,reward size task,204
153,153R,#153,0.564383562,Behavior,NA,1,i.v.,hM4Di,CNO,3,reward size task,206
153,153R,#153,0.578082192,Behavior,NA,0,i.v.,hM4Di,vehicle,na,reward size task,211
153,153R,#153,0.583561644,Behavior,NA,1,i.v.,hM4Di,CNO,3,reward size task,213
153,153R,#153,0.597260274,Behavior,NA,0,i.v.,hM4Di,vehicle,na,reward size task,218
153,153R,#153,0.602739726,Behavior,NA,1,i.v.,hM4Di,CNO,3,reward size task,220
153,153R,#153,0.616438356,Behavior,NA,0,i.v.,hM4Di,vehicle,na,reward size task,225
153,153R,#153,0.679452055,Behavior,NA,1,i.v.,hM4Di,CNO,3,reward size task,248
153,153R,#153,0.693150685,Behavior,NA,0,i.v.,hM4Di,vehicle,na,reward size task,253
153,153R,#153,0.698630137,Behavior,NA,1,i.v.,hM4Di,CNO,3,reward size task,255
153,153R,#153,0.712328767,Behavior,NA,0,i.v.,hM4Di,vehicle,na,reward size task,260
153,153R,#153,0.717808219,Behavior,NA,1,i.v.,hM4Di,CNO,3,reward size task,262
153,153R,#153,0.731506849,Behavior,NA,0,i.v.,hM4Di,vehicle,na,reward size task,267
153,153R,#153,0.736986301,Behavior,NA,1,i.v.,hM4Di,CNO,3,reward size task,269
163,163R,#163,0.17260274,Behavior,NA,1,i.m.,hM4Di,DCZ,0.03,delayed reward task,63
163,163R,#163,0.189041096,Behavior,NA,1,i.m.,hM4Di,DCZ,0.03,delayed reward task,69
163,163R,#163,0.210958904,Behavior,NA,1,i.m.,hM4Di,DCZ,0.03,delayed reward task,77
163,163R,#163,0.230136986,Behavior,NA,1,i.m.,hM4Di,DCZ,0.1,delayed reward task,84
163,163R,#163,0.235616438,Behavior,NA,0,i.m.,hM4Di,vehicle,na,delayed reward task,86
