subject,id,moid,years,exam,tracer,activation,route,dreadd
215,215R,#215,1.127994524,Behavior,NA,1,i.m.,hM3Dq
229,229R,#229,1.002053388,Behavior,NA,1,i.m.,hM4Di
229,229R,#229,1.013004791,Behavior,NA,1,i.m.,hM4Di
215,215R,#215,1.152635181,Behavior,NA,1,i.m.,hM3Dq
229,229R,#229,1.018480493,Behavior,NA,1,i.m.,hM4Di
229,229R,#229,1.034907598,Behavior,NA,1,i.m.,hM4Di
229,229R,#229,1.040383299,Behavior,NA,1,i.m.,hM4Di
229,229R,#229,1.067761807,Behavior,NA,1,i.m.,hM4Di
229,229R,#229,1.075975359,Behavior,NA,1,i.m.,hM4Di
229,229R,#229,1.097878166,Behavior,NA,1,i.m.,hM4Di
215,215R,#215,1.267624914,Behavior,NA,1,i.m.,hM3Dq
229,229R,#229,1.133470226,Behavior,NA,1,i.m.,hM4Di
229,229R,#229,1.144421629,Behavior,NA,1,i.m.,hM4Di
229,229R,#229,1.149897331,Behavior,NA,1,i.m.,hM4Di
229,229R,#229,1.171800137,Behavior,NA,1,i.m.,hM4Di
229,229R,#229,1.185489391,Behavior,NA,1,i.m.,hM4Di
229,229R,#229,1.193702943,Behavior,NA,1,i.m.,hM4Di
229,229R,#229,1.204654346,Behavior,NA,1,i.m.,hM4Di
229,229R,#229,1.212867899,Behavior,NA,1,i.m.,hM4Di
229,229R,#229,1.281314168,Behavior,NA,1,i.m.,hM4Di
229,229R,#229,1.28678987,Behavior,NA,1,i.m.,hM4Di
229,229R,#229,1.292265572,Behavior,NA,1,i.m.,hM4Di
229,229R,#229,1.300479124,Behavior,NA,1,i.m.,hM4Di
229,229R,#229,1.305954825,Behavior,NA,1,i.m.,hM4Di
229,229R,#229,1.440109514,Behavior,NA,1,i.m.,hM4Di
229,229R,#229,1.481177276,Behavior,NA,1,i.m.,hM4Di
229,229R,#229,1.500342231,Behavior,NA,1,i.m.,hM4Di
229,229R,#229,1.516769336,Behavior,NA,1,i.m.,hM4Di
229,229R,#229,1.538672142,Behavior,NA,1,i.m.,hM4Di
229,229R,#229,1.557837098,Behavior,NA,1,i.m.,hM4Di
229,229R,#229,1.900068446,Behavior,NA,1,p.o.,hM4Di
229,229R,#229,1.916495551,Behavior,NA,1,p.o.,hM4Di
229,229R,#229,1.930184805,Behavior,NA,1,p.o.,hM4Di
229,229R,#229,1.938398357,Behavior,NA,1,p.o.,hM4Di
229,229R,#229,1.94934976,Behavior,NA,1,p.o.,hM4Di
229,229R,#229,1.957563313,Behavior,NA,1,p.o.,hM4Di
229,229R,#229,1.968514716,Behavior,NA,1,p.o.,hM4Di
229,229R,#229,1.979466119,Behavior,NA,1,p.o.,hM4Di
229,229R,#229,2.01779603,Behavior,NA,1,p.o.,hM4Di
229,229R,#229,2.036960986,Behavior,NA,1,p.o.,hM4Di
229,229R,#229,2.069815195,Behavior,NA,1,p.o.,hM4Di
229,229R,#229,2.088980151,Behavior,NA,1,p.o.,hM4Di
229,229R,#229,2.102669405,Behavior,NA,1,i.m.,hM4Di
229,229R,#229,2.113620808,Behavior,NA,1,p.o.,hM4Di
229,229R,#229,2.124572211,Behavior,NA,1,i.m.,hM4Di
229,229R,#229,2.132785763,Behavior,NA,1,p.o.,hM4Di
229,229R,#229,2.151950719,Behavior,NA,1,i.m.,hM4Di
229,229R,#229,2.165639973,Behavior,NA,1,p.o.,hM4Di
229,229R,#229,2.171115674,Behavior,NA,1,i.m.,hM4Di
229,229R,#229,2.184804928,Behavior,NA,1,p.o.,hM4Di
229,229R,#229,2.201232033,Behavior,NA,1,p.o.,hM4Di
229,229R,#229,2.217659138,Behavior,NA,1,p.o.,hM4Di
229,229R,#229,2.228610541,Behavior,NA,1,i.m.,hM4Di
229,229R,#229,2.255989049,Behavior,NA,1,p.o.,hM4Di
215,215R,#215,2.39835729,Behavior,NA,1,i.m.,hM3Dq
229,229R,#229,2.264202601,Behavior,NA,1,i.m.,hM4Di
215,215R,#215,2.409308693,Behavior,NA,1,i.m.,hM3Dq
229,229R,#229,2.275154004,Behavior,NA,1,i.m.,hM4Di
229,229R,#229,2.280629706,Behavior,NA,1,p.o.,hM4Di
229,229R,#229,2.286105407,Behavior,NA,1,p.o.,hM4Di
215,215R,#215,2.453114305,Behavior,NA,1,i.m.,hM3Dq
229,229R,#229,2.357289528,Behavior,NA,1,p.o.,hM4Di
229,229R,#229,2.370978782,Behavior,NA,1,p.o.,hM4Di
229,229R,#229,2.379192334,Behavior,NA,1,p.o.,hM4Di
215,215R,#215,2.516084873,Behavior,NA,1,i.m.,hM3Dq
215,215R,#215,2.535249829,Behavior,NA,1,i.m.,hM3Dq
