"subject","id","moid","years","years2","exam2","tracer","activation","route","protein1","protein2"
"153","153R","#153",0,0,"PET","CZ",NA,NA,"hM4Di",NA
"153","153R","#153",0,0,"PET","CZ",NA,NA,"hM4Di",NA
"153","153R","#153",0,0,"PET","CZ",NA,NA,"hM4Di",NA
"153","153R","#153",0.659822039698836,0.229979466119097,"PET","CZ",NA,NA,"hM4Di",NA
"207","207R","#207",0.336755646817248,NA,"PET","CZ",NA,NA,"hM4Di",NA
"218","218J","#218",0,0,"PET","CZ",NA,NA,NA,NA
"218","218J","#218",0.112251882272416,NA,"PET","CZ",NA,NA,"hM4Di",NA
"163","163R","#163",0,0,"PET","CZ",NA,NA,NA,NA
"163","163R","#163",0,0,"PET","CZ",NA,NA,"hM4Di",NA
"153","153R","#153",1.42642026009582,0.996577686516085,"euthanize",NA,NA,NA,"hM4Di",NA
"218","218J","#218",0.490075290896646,NA,"PET","DCZ",NA,NA,"hM4Di",NA
"207","207R","#207",1.22929500342231,NA,"PET","DCZ",NA,NA,"hM4Di",NA
"221","221J","#221",0,0,"PET","DCZ",NA,NA,NA,NA
"215","215R","#215",0,0,"PET","DCZ",NA,NA,NA,NA
"221","221J","#221",0,0,"PET","DCZ",NA,NA,"hM4Di",NA
"221","221J","#221",0,0,"PET","DCZ",NA,NA,"hM4Di",NA
"215","215R","#215",0.131416837782341,NA,"PET","DCZ",NA,NA,"hM3Dq",NA
"215","215R","#215",0.153319644079398,NA,"PET","FDG",0,"i.v.","hM3Dq",NA
"215","215R","#215",0.172484599589322,NA,"PET","FDG",0,"i.v.","hM3Dq",NA
"215","215R","#215",0.210814510609172,NA,"PET","DCZ",NA,NA,"hM3Dq",NA
"215","215R","#215",0.268309377138946,NA,"PET","FDG",1,"i.v.","hM3Dq",NA
"229","229R","#229",0,0,"PET","DCZ",NA,NA,"hM4Di",NA
"215","215R","#215",0.292950034223135,NA,"PET","DCZ",NA,NA,"hM3Dq",NA
"215","215R","#215",0.306639288158795,NA,"PET","FDG",0,"i.v.","hM3Dq",NA
"201","201R","#201",0,0,"PET","DCZ",NA,NA,NA,NA
"215","215R","#215",0.344969199178645,NA,"PET","FDG",1,"i.v.","hM3Dq",NA
"215","215R","#215",0.421629021218344,NA,"PET","FDG",1,"i.v.","hM3Dq",NA
"223","223C","#223",0,0,"PET","DCZ",NA,NA,NA,NA
"225","225J","#225",0.112251882272416,NA,"PET","DCZ",NA,NA,"hM4Di",NA
"215","215R","#215",0.459958932238193,NA,"PET","FDG",0,"i.v.","hM3Dq",NA
"215","215R","#215",0.498288843258042,NA,"PET","FDG",1,"i.v.","hM3Dq",NA
"163","163R","#163",1.36071184120465,0.131416837782341,"PET","DCZ",NA,NA,"hM4Di",NA
"215","215R","#215",0.517453798767967,NA,"PET","DCZ",NA,NA,"hM3Dq",NA
