subject,id,moid,years,exam,tracer,activation,route,dreadd
218,218J,#218,0.490075291,PET,DCZ,NA,NA,hM4Di
207,207R,#207,1.229295003,PET,DCZ,NA,NA,hM4Di
215,215R,#215,0.131416838,PET,DCZ,NA,NA,hM3Dq
215,215R,#215,0.210814511,PET,DCZ,NA,NA,hM3Dq
215,215R,#215,0.292950034,PET,DCZ,NA,NA,hM3Dq
225,225J,#225,0.112251882,PET,DCZ,NA,NA,hM4Di
163,163R,#163,0.131416838,PET,DCZ,NA,NA,hM4Di
215,215R,#215,0.517453799,PET,DCZ,NA,NA,hM3Dq
223,223C,#223,0.082135524,PET,DCZ,NA,NA,hM3Dq
223,223C,#223,0.123203285,PET,DCZ,NA,NA,hM3Dq
221,221J,#221,0.692676249,PET,DCZ,NA,NA,hM4Di
223,223C,#223,0.17522245,PET,DCZ,NA,NA,hM3Dq
201,201R,#201,0.123203285,PET,DCZ,NA,NA,hM4Di
223,223C,#223,0.219028063,PET,DCZ,NA,NA,hM3Dq
236,236J,#236,0.112251882,PET,DCZ,NA,NA,hM3Dq
221,221J,#221,0.922655715,PET,DCZ,NA,NA,hM4Di
223,223C,#223,0.503764545,PET,DCZ,NA,NA,hM3Dq
241,241J,#241,0.082135524,PET,DCZ,NA,NA,hM3Dq
241,241J,#241,0.123203285,PET,DCZ,NA,NA,hM3Dq
238,238J,#238,0.117727584,PET,DCZ,NA,NA,hM4Di
241,241J,#241,0.17522245,PET,DCZ,NA,NA,hM3Dq
218,218J,#218,2.214921287,PET,DCZ,NA,NA,hM4Di
229,229R,#229,1.032169747,PET,DCZ,NA,NA,hM4Di
218,218J,#218,2.26146475,PET,DCZ,NA,NA,hM4Di
241,241J,#241,0.328542094,PET,DCZ,NA,NA,hM3Dq
241,241J,#241,0.391512663,PET,DCZ,NA,NA,hM3Dq
241,241J,#241,0.481861739,PET,DCZ,NA,NA,hM3Dq
238,238J,#238,0.48733744,PET,DCZ,NA,NA,hM4Di
236,236J,#236,1.026694045,PET,DCZ,NA,NA,hM3Dq
234,234J,#234,0.120465435,PET,DCZ,NA,NA,hM4Di
245,245J,#245,0.114989733,PET,DCZ,NA,NA,hM4Di
241,241J,#241,0.980150582,PET,DCZ,NA,NA,hM3Dq
236,236J,#236,2.042436687,PET,DCZ,NA,NA,hM3Dq
215,215R,#215,2.683093771,PET,DCZ,NA,NA,hM3Dq
255,255C,#255,0.120465435,PET,DCZ,NA,NA,hM3Dq
255,255C,#255,0.314852841,PET,DCZ,NA,NA,hM3Dq
255,255C,#255,0.366872005,PET,DCZ,NA,NA,hM3Dq
224,224J,#224,0.785763176,PET,DCZ,NA,NA,hM3Dq
255,255C,#255,0.711841205,PET,DCZ,NA,NA,hM3Dq
255,255C,#255,0.845995893,PET,DCZ,1,i.v.,hM3Dq
255,255C,#255,0.906228611,PET,DCZ,0,i.v.,hM3Dq
255,255C,#255,0.960985626,PET,DCZ,1,i.v.,hM3Dq
255,255C,#255,1.002053388,PET,DCZ,0,i.v.,hM3Dq
255,255C,#255,1.018480493,PET,DCZ,1,i.v.,hM3Dq
255,255C,#255,1.095140315,PET,DCZ,1,i.v.,hM3Dq
255,255C,#255,1.84257358,PET,DCZ,NA,NA,hM3Dq
234,234J,#234,2.877481177,PET,DCZ,NA,NA,hM4Di
224,224J,#224,2.57357974,PET,DCZ,NA,NA,hM3Dq
