timing,hemisphere,session,value
positive,Ipsi,1,9.670319108
positive,Ipsi,2,3.274044413
positive,Ipsi,3,5.66507454
positive,Ipsi,4,-14.95205626
positive,Ipsi,5,-0.752616078
positive,Contra,1,25.91956237
positive,Contra,2,39.61936637
positive,Contra,3,47.05706662
positive,Contra,4,22.77973102
positive,Contra,5,23.14489467
extinguished,Ipsi,1,-2.796203624
extinguished,Ipsi,2,-0.416566805
extinguished,Ipsi,3,-3.125802311
extinguished,Ipsi,4,8.770122996
extinguished,Ipsi,5,1.499763688
extinguished,Contra,1,6.7343682
extinguished,Contra,2,-1.586113002
extinguished,Contra,3,-1.024951986
extinguished,Contra,4,16.70509025
extinguished,Contra,5,2.303906072
