id,region,hemisphere,region2,idxregion,dreadd,deltaBP,serotype,promoter,tag,titer,age,sex,vector,region3
193r,R_Amyg,R,Amyg,193r_R_Amyg,hM4Di,0.948365938,AAV2,CMV,none,2,10,male,AAV2-CMV-hM4Di,Amygdala
212r,R_Put,R,Put,212r_R_Put,hM4Di,1.951450984,AAV2,CMV,none,2.6,8.7,female,AAV2-CMV-hM4Di,Putamen
215r,L_Amyg,L,Amyg,215r_L_Amyg,hM3Dq,1.717072093,AAV2,CMV,none,1.2,8.5,female,AAV2-CMV-hM3Dq,Amygdala
221j,L_OFC,L,OFC,221j_L_OFC,hM4Di,3.377388493,AAV2,CMV,none,2,4.6,male,AAV2-CMV-hM4Di,OFC
221j,R_rmCD,R,rmCD,221j_R_rmCD,hM4Di,0.505731419,AAV2,CMV,none,2,5.1,male,AAV2-CMV-hM4Di,Caudate
223c,R_Put,R,Put,223c_R_Put,hM3Dq,3.299438436,AAV2.1,hSyn,IRES-AcGFP,5,4.9,male,AAV2.1-hSyn-hM3Dq-IRES-AcGFP,Putamen
223c,R_Cd,R,Cd,223c_R_Cd,hM3Dq,1.121309308,AAV2.1,hSyn,IRES-AcGFP,1,4.8,male,AAV2.1-hSyn-hM3Dq-IRES-AcGFP,Caudate
223c,L_Put,L,Put,223c_L_Put,hM3Dq,0.418720613,AAV2,hSyn,IRES-AcGFP,1,4.8,male,AAV2-hSyn-hM3Dq-IRES-AcGFP,Putamen
224j,L_Amyg,L,Amyg,224j_L_Amyg,hM3Dq,0.376404562,AAV2.1,hSyn,IRES-AcGFP,2,9.8,male,AAV2.1-hSyn-hM3Dq-IRES-AcGFP,Amygdala
224j,R_Amyg,R,Amyg,224j_R_Amyg,hM3Dq,0.91706144,AAV2.1,hSyn,IRES-AcGFP,2,9.2,male,AAV2.1-hSyn-hM3Dq-IRES-AcGFP,Amygdala
225j,L_S1,L,S1,225j_L_S1,hM4Di,0.698727166,AAV2,CMV,none,1.54,7.8,female,AAV2-CMV-hM4Di,S1
229r,R_dlPFC,R,dlPFC,229r_R_dlPFC,hM4Di,1.641272836,AAV2.1,hSyn,IRES-AcGFP,4.7,4.7,male,AAV2.1-hSyn-hM4Di-IRES-AcGFP,dlPFC
234j,R-S1,R,S1,234j_R-S1,hM4Di,1.494015335,AAV2.1,hSyn,IRES-AcGFP,3.8,5.2,male,AAV2.1-hSyn-hM4Di-IRES-AcGFP,S1
237j,R-Amyg,R,Amyg,237j_R-Amyg,hM4Di,0.822366958,AAV2.1,hSyn,IRES-AcGFP,2,6.1,male,AAV2.1-hSyn-hM4Di-IRES-AcGFP,Amygdala
241j,L_Put,L,Put,241j_L_Put,hM3Dq,1.172613448,AAV1,hSyn,IRES-AcGFP,2,3.6,male,AAV1-hSyn-hM3Dq-IRES-AcGFP,Putamen
241j,L_Cd,L,Cd,241j_L_Cd,hM3Dq,1.966404109,AAV2,hSyn,none,2,3.6,male,AAV2-hSyn-hM3Dq,Caudate
241j,R_Put,R,Put,241j_R_Put,hM3Dq,1.206198112,AAV2.1,hSyn,IRES-AcGFP,2,3.6,male,AAV2.1-hSyn-hM3Dq-IRES-AcGFP,Putamen
241j,R_Cd,R,Cd,241j_R_Cd,hM3Dq,0.415951603,AAV2,hSyn,IRES-AcGFP,2,3.6,male,AAV2-hSyn-hM3Dq-IRES-AcGFP,Caudate
245j,L-dlPFC,L,dlPFC,245j_L-dlPFC,hM4Di,1.254199579,AAV2.1,hSyn,IRES-AcGFP,4.7,7,male,AAV2.1-hSyn-hM4Di-IRES-AcGFP,dlPFC
245j,R-dlPFC,R,dlPFC,245j_R-dlPFC,hM4Di,1.093789546,AAV2.1,hSyn,IRES-AcGFP,4.7,7,male,AAV2.1-hSyn-hM4Di-IRES-AcGFP,dlPFC
255c,R_VPL,R,VPL,255c_R_VPL,hM3Dq,2.741473955,AAV2,hSyn,none,1.8,4.8,male,AAV2-hSyn-hM3Dq,Thalamus
255c,L_VPL,L,VPL,255c_L_VPL,hM3Dq,1.061263462,AAV5,hSyn,5'-HA,2.7,4.8,male,AAV5-hSyn-HA-hM3Dq,Thalamus
255c,R-Put,R,Put,255c_R-Put,hM4Di,0.435022056,AAV2,hSyn,5'-HA,1.67,4.8,male,AAV2-hSyn-HA-hM4Di,Putamen
255c,L-Put,L,Put,255c_L-Put,hM4Di,0.239283456,AAV5,hSyn,5'-HA,4.6,4.8,male,AAV5-hSyn-HA-hM4Di,Putamen
255c,R-Cd,R,Cd,255c_R-Cd,hM4Di,0.24055255,AAV2,hSyn,5'-HA,1.67,4.8,male,AAV2-hSyn-HA-hM4Di,Caudate
255c,L-Cd,L,Cd,255c_L-Cd,hM4Di,0.342590656,AAV2,hSyn,5'-HA,1.2,4.8,male,AAV2-hSyn-HA-hM4Di,Caudate
238j,R-OFC,R,OFC,238j_R-OFC,hM4Di,1.743214771,AAV2.1,CaMKII,IRES-AcGFP,2.58,4.8,male,AAV2.1-CaMKII-hM4Di-IRES-AcGFP,OFC
238j,L-OFC,L,OFC,238j_L-OFC,hM4Di,1.116246819,AAV2.1,CaMKII,IRES-AcGFP,2.58,4.8,male,AAV2.1-CaMKII-hM4Di-IRES-AcGFP,OFC
